NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000027116;BVR BANCA VENETO CENTRALE - CREDITO COOPERATIVO ITALIANO - SOCIETA' COOPERATIVA;MUTTA ALESSANDRO
D000164561;CA AUTO BANK S.P.A.;MAZZOTTI MARCELLO
D000743802;CAMBIANO LEASING S.P.A.;GAMBACCIANI MARCO
D000743802;CAMBIANO LEASING S.P.A.;MARCACCI FRANCESCO
D000735221;CAP.ITAL.FIN S.P.A.;GALBIATI ANDREA
D000080809;CASSA CENTRALE BANCA  CREDITO COOPERATIVO ITALIANO S.P.A.;RUZZIER EMANUELE
D000027113;CASSA CENTRALE RAIFFEISEN DELL'ALTO ADIGE SPA;STEGER GERLINDE
D000027120;CASSA DI RISPARMIO DI ASTI S.P.A.;CARBONE FABRIZIO
D000027120;CASSA DI RISPARMIO DI ASTI S.P.A.;VAI ALESSANDRO
D000132022;CASSA DI RISPARMIO DI BOLZANO SPA;RAFFEINER MARKUS
D000026972;CASSA DI RISPARMIO DI FERMO SPA;SPORTILLO CARLO
D000051279;CASSA DI RISPARMIO DI FOSSANO SPA;QUAGLIA BRUNO
D000027063;CASSA DI RISPARMIO DI ORVIETO S.P.A.;ROSELLI PAOLO
D000026969;CASSA DI RISPARMIO DI VOLTERRA S.P.A.;FOCA ELENA
D000232722;CASSA LOMBARDA SPA;BIOLZI ALBERTO
D000027180;CASSA PADANA B.C.C. SOC. COOP.;VALDAMERI ALBERTO
D000070708;CASSA RAIFFEISEN ALTA PUSTERIA SOC.COOP.;Feichter Wilhelm
D000027048;CASSA RAIFFEISEN ALTA VENOSTA;MORIGGL MARKUS WALTER
D000051310;CASSA RAIFFEISEN BASSA ATESINA SOC. COOP.;RIALTO IVAN
D000074546;CASSA RAIFFEISEN BASSA VALL'ISARCO SOC.COOP.;Schrott Karl
D000056493;CASSA RAIFFEISEN BASSA VENOSTA SOCIETÁ COOPERATIVA;LADURNER BIRGIT
D000027030;CASSA RAIFFEISEN CAMPO DI TRENS SOCIETÁ COOPERATIVA;BACHER MICHAEL
D000053849;CASSA RAIFFEISEN CASTELROTTO - ORTISEI SOCIETA' COOPERATIVA (RAIFFEISENKASSE KASTELRUTH - ST.ULRICH GENOSSENSCHAFT);RIFESSER DAVID
D000027106;CASSA RAIFFEISEN DELLA VAL PASSIRIA SOCIETA' COOPERATIVA;GOETSCH FILIP
D000079527;CASSA RAIFFEISEN DELLA VALLE ISARCO SOC. COOP.;MAIR CHRISTOF
D000079527;CASSA RAIFFEISEN DELLA VALLE ISARCO SOC. COOP.;TRAINO LISELOTTE
D000027040;CASSA RAIFFEISEN DI BRUNICO SOC.COOP.;SILGINER MICHAEL 
D000079699;CASSA RAIFFEISEN DI DOBBIACO SOC. COOP.;KLETTENHAMMER PATRICK
D000121707;CASSA RAIFFEISEN DI FUNES SOC. COOP.;ASTNER VALENTIN
D000027019;CASSA RAIFFEISEN DI LAGUNDO SOC. COOP.;Fiori Luciano
D000027092;CASSA RAIFFEISEN DI LASA SOCIETÁ COOPERATIVA;LADURNER PHILIPP
D000027130;CASSA RAIFFEISEN DI MARLENGO SOC. COOP.;LADURNER ANDREAS
D000026938;CASSA RAIFFEISEN DI NOVA PONENTE-ALDINO SOC.COOP.;NIEDERMAIR ERICH
D000026967;CASSA RAIFFEISEN DI PARCINES SOCIETA' COOPERATIVA;Ladurner Christoph
D000026967;CASSA RAIFFEISEN DI PARCINES SOCIETA' COOPERATIVA;RUNGG ARMIN
D000027119;CASSA RAIFFEISEN DI SCENA SOCIETA' COOPERATIVA;SCHWEITZER ULRICH
D000026926;CASSA RAIFFEISEN DI TESIMO SOCIETA¿ COOPERATIVA;THANAI ANDREAS
D000056238;CASSA RAIFFEISEN DI VILLABASSA SOC.COOP.;STIFTER HANS-PETER
D000027082;CASSA RAIFFEISEN ETSCHTAL SOCIETA' COOPERATIVA;HUBER SUSANNE CHRISTINE
D000074714;CASSA RAIFFEISEN GHERDEINA SOZ. COOP. RAIFFEISENKASSE GROEDEN GENOSSENSCHAFT CASSA RAIFFEISEN VAL GARDENA SOCIETA' COOPERATIVA;SENONER FLAVIO
